User,Type,Total Amount,Number of Transactions
User 52,CREDIT,130083,29
User 52,DEBIT,152736,28
User 53,CREDIT,216408,40
User 53,DEBIT,263797,56
User 54,CREDIT,107241,21
User 54,DEBIT,151808,31
User 55,CREDIT,184937,40
User 55,DEBIT,199292,46
User 56,CREDIT,217712,41
User 56,DEBIT,251900,55
User 57,CREDIT,270142,48
User 57,DEBIT,267727,51
User 58,CREDIT,194957,39
User 58,DEBIT,190312,38
User 59,CREDIT,149714,29
User 59,DEBIT,169700,37
User 60,CREDIT,112526,26
User 60,DEBIT,130977,24
User 61,CREDIT,251119,49
User 61,DEBIT,254626,49
User 62,CREDIT,123074,28
User 62,DEBIT,135606,24
User 63,CREDIT,168738,29
User 63,DEBIT,129901,30
User 64,CREDIT,171731,34
User 64,DEBIT,196787,33
User 65,CREDIT,261490,49
User 65,DEBIT,208266,41
User 66,CREDIT,182782,38
User 66,DEBIT,129332,26
User 67,CREDIT,169398,39
User 67,DEBIT,240029,47
User 68,CREDIT,150343,32
User 68,DEBIT,195943,44
User 69,CREDIT,122769,27
User 69,DEBIT,188720,37
User 70,CREDIT,172099,34
User 70,DEBIT,145683,35
User 71,CREDIT,214590,45
User 71,DEBIT,259217,50
User 72,CREDIT,228035,49
User 72,DEBIT,181290,41
User 73,CREDIT,164046,35
User 73,DEBIT,201071,39
User 74,CREDIT,127852,32
User 74,DEBIT,105566,22
User 75,CREDIT,122486,29
User 75,DEBIT,159551,30
User 76,CREDIT,146744,27
User 76,DEBIT,220608,39
User 77,CREDIT,198161,39
User 77,DEBIT,207177,41
User 78,CREDIT,181900,41
User 78,DEBIT,190678,39
User 79,CREDIT,127615,31
User 79,DEBIT,185217,37
User 80,CREDIT,140482,32
User 80,DEBIT,179751,37
User 81,CREDIT,247887,46
User 81,DEBIT,242471,51
User 82,CREDIT,211046,42
User 82,DEBIT,176716,32
User 83,CREDIT,279935,58
User 83,DEBIT,178177,38
User 84,CREDIT,136931,27
User 84,DEBIT,94868,23
User 85,CREDIT,127197,30
User 85,DEBIT,164755,33
User 86,CREDIT,223324,41
User 86,DEBIT,220619,49
User 87,CREDIT,247173,48
User 87,DEBIT,229160,45
User 88,CREDIT,237808,46
User 88,DEBIT,240460,46
User 89,CREDIT,172997,37
User 89,DEBIT,252786,51
User 90,CREDIT,141846,41
User 90,DEBIT,198167,39
User 91,CREDIT,166738,35
User 91,DEBIT,133876,23
User 92,CREDIT,150196,31
User 92,DEBIT,166564,37
User 93,CREDIT,100554,22
User 93,DEBIT,135751,29
User 94,CREDIT,148153,31
User 94,DEBIT,163644,36
User 95,CREDIT,164250,38
User 95,DEBIT,159251,31
User 96,CREDIT,134088,30
User 96,DEBIT,153581,32
User 97,CREDIT,189206,37
User 97,DEBIT,152784,38
User 98,CREDIT,146189,29
User 98,DEBIT,130809,26
User 99,CREDIT,259953,48
User 99,DEBIT,271540,45
User 100,CREDIT,132261,25
User 100,DEBIT,131606,27
User 101,CREDIT,128440,27
User 101,DEBIT,202891,35
User 102,CREDIT,206506,39
User 102,DEBIT,150033,34
User 103,CREDIT,261599,54
User 103,DEBIT,156006,32
User 104,CREDIT,213107,49
User 104,DEBIT,179366,35
User 105,CREDIT,156905,33
User 105,DEBIT,216659,40
User 106,CREDIT,214333,41
User 106,DEBIT,127712,32
User 107,CREDIT,143646,33
User 107,DEBIT,154182,34
User 108,CREDIT,217247,45
User 108,DEBIT,199842,40
User 109,CREDIT,154293,30
User 109,DEBIT,151249,36
User 110,CREDIT,169846,38
User 110,DEBIT,249645,40
User 111,CREDIT,145118,30
User 111,DEBIT,130185,26
User 112,CREDIT,118153,29
User 112,DEBIT,140398,24
User 113,CREDIT,266801,49
User 113,DEBIT,271294,49
User 114,CREDIT,191912,34
User 114,DEBIT,130277,27
User 115,CREDIT,259713,51
User 115,DEBIT,226327,48
User 116,CREDIT,183623,37
User 116,DEBIT,165306,31
User 117,CREDIT,229790,45
User 117,DEBIT,184728,35
User 118,CREDIT,130972,28
User 118,DEBIT,193935,40
User 119,CREDIT,214178,43
User 119,DEBIT,152065,31
User 120,CREDIT,263537,53
User 120,DEBIT,224073,46
User 121,CREDIT,171083,29
User 121,DEBIT,132290,22
User 122,CREDIT,196117,47
User 122,DEBIT,198817,39
User 123,CREDIT,175445,36
User 123,DEBIT,112831,25
User 124,CREDIT,120617,28
User 124,DEBIT,121969,23
User 125,CREDIT,208147,38
User 125,DEBIT,212103,44
User 126,CREDIT,196750,38
User 126,DEBIT,185615,36
User 127,CREDIT,162701,31
User 127,DEBIT,99037,20
User 128,CREDIT,184743,38
User 128,DEBIT,168505,41
User 129,CREDIT,129931,27
User 129,DEBIT,165199,32
User 130,CREDIT,168370,31
User 130,DEBIT,121685,24
User 131,CREDIT,217935,43
User 131,DEBIT,273164,52
User 132,CREDIT,180535,37
User 132,DEBIT,236154,43
User 133,CREDIT,170815,32
User 133,DEBIT,158378,36
User 134,CREDIT,242209,47
User 134,DEBIT,194075,37
User 135,CREDIT,206983,42
User 135,DEBIT,188812,36
User 136,CREDIT,187007,34
User 136,DEBIT,265092,55
User 137,CREDIT,96448,22
User 137,DEBIT,141338,28
User 138,CREDIT,183815,33
User 138,DEBIT,147458,38
User 139,CREDIT,228071,45
User 139,DEBIT,250202,51
User 140,CREDIT,257234,46
User 140,DEBIT,269208,54
User 141,CREDIT,231446,46
User 141,DEBIT,286865,54
User 142,CREDIT,206107,44
User 142,DEBIT,188689,34
User 143,CREDIT,280352,54
User 143,DEBIT,194992,42
User 144,CREDIT,146204,35
User 144,DEBIT,190634,42
User 145,CREDIT,202643,45
User 145,DEBIT,190311,38
User 146,CREDIT,217149,47
User 146,DEBIT,149897,28
User 147,CREDIT,169845,34
User 147,DEBIT,228661,42
User 148,CREDIT,155832,28
User 148,DEBIT,120386,30
User 149,CREDIT,152269,28
User 149,DEBIT,138273,36
User 150,CREDIT,158694,32
User 150,DEBIT,219971,39
User 151,CREDIT,110128,23
User 151,DEBIT,187136,35
User 152,CREDIT,133783,23
User 152,DEBIT,132008,31
User 153,CREDIT,220445,42
User 153,DEBIT,270310,56
User 154,CREDIT,114962,23
User 154,DEBIT,183102,33
User 155,CREDIT,143092,33
User 155,DEBIT,200102,36
User 156,CREDIT,200564,44
User 156,DEBIT,250318,52
User 157,CREDIT,233719,42
User 157,DEBIT,198957,47
User 158,CREDIT,235157,44
User 158,DEBIT,226238,44
User 159,CREDIT,251537,50
User 159,DEBIT,203137,43
User 160,CREDIT,137008,32
User 160,DEBIT,192639,39
User 161,CREDIT,127028,25
User 161,DEBIT,180672,31
User 162,CREDIT,221725,41
User 162,DEBIT,178018,37
User 163,CREDIT,150134,31
User 163,DEBIT,119094,26
User 164,CREDIT,240645,52
User 164,DEBIT,175966,35
User 165,CREDIT,216203,43
User 165,DEBIT,272894,50
User 166,CREDIT,179176,40
User 166,DEBIT,194308,37
User 167,CREDIT,114315,26
User 167,DEBIT,135998,26
User 168,CREDIT,182629,33
User 168,DEBIT,90752,19
User 169,CREDIT,242576,46
User 169,DEBIT,276080,52
User 170,CREDIT,195624,40
User 170,DEBIT,224315,42
User 171,CREDIT,181804,38
User 171,DEBIT,151940,36
User 172,CREDIT,139704,32
User 172,DEBIT,249215,50
User 173,CREDIT,213770,42
User 173,DEBIT,162232,36
User 174,CREDIT,237328,46
User 174,DEBIT,216449,43
User 175,CREDIT,133857,31
User 175,DEBIT,204469,40
User 176,CREDIT,225992,44
User 176,DEBIT,184828,40
User 177,CREDIT,198870,37
User 177,DEBIT,151346,34
User 178,CREDIT,166423,31
User 178,DEBIT,114411,28
User 179,CREDIT,138712,30
User 179,DEBIT,175880,30
User 180,CREDIT,163308,33
User 180,DEBIT,222097,43
User 181,CREDIT,247356,52
User 181,DEBIT,258046,46
User 182,CREDIT,201203,41
User 182,DEBIT,145660,29
User 183,CREDIT,185299,33
User 183,DEBIT,89113,22
User 184,CREDIT,141197,28
User 184,DEBIT,154653,27
User 185,CREDIT,121933,30
User 185,DEBIT,154340,31
User 186,CREDIT,95906,25
User 186,DEBIT,155058,33
User 187,CREDIT,219855,42
User 187,DEBIT,166329,37
User 188,CREDIT,217510,47
User 188,DEBIT,187857,35
User 189,CREDIT,172381,29
User 189,DEBIT,179837,37
User 190,CREDIT,214963,43
User 190,DEBIT,252824,55
User 191,CREDIT,231001,48
User 191,DEBIT,260766,50
User 192,CREDIT,234214,51
User 192,DEBIT,253766,49
User 193,CREDIT,133699,29
User 193,DEBIT,131458,26
User 194,CREDIT,216867,41
User 194,DEBIT,251694,54
User 195,CREDIT,165675,29
User 195,DEBIT,123593,23
User 196,CREDIT,232231,44
User 196,DEBIT,222152,42
User 197,CREDIT,241007,43
User 197,DEBIT,264789,50
User 198,CREDIT,161653,29
User 198,DEBIT,188791,35
User 199,CREDIT,166974,34
User 199,DEBIT,240214,44
User 200,CREDIT,163772,35
User 200,DEBIT,185048,45
User 201,CREDIT,155254,27
User 201,DEBIT,238750,44
User 202,CREDIT,176913,36
User 202,DEBIT,135617,27
User 203,CREDIT,206421,41
User 203,DEBIT,144888,31
User 204,CREDIT,204686,42
User 204,DEBIT,161126,33
User 205,CREDIT,135616,24
User 205,DEBIT,168230,32
User 206,CREDIT,252104,45
User 206,DEBIT,207515,42
User 207,CREDIT,221276,41
User 207,DEBIT,170009,32
User 208,CREDIT,177736,38
User 208,DEBIT,240527,46
User 209,CREDIT,201126,41
User 209,DEBIT,179305,34
User 210,CREDIT,226912,47
User 210,DEBIT,207941,40
User 211,CREDIT,156942,25
User 211,DEBIT,158343,30
User 212,CREDIT,204773,39
User 212,DEBIT,277544,47
User 213,CREDIT,199938,41
User 213,DEBIT,190908,41
User 214,CREDIT,227705,47
User 214,DEBIT,188163,34
User 215,CREDIT,170525,32
User 215,DEBIT,90468,21
User 216,CREDIT,215781,50
User 216,DEBIT,246721,48
User 217,CREDIT,129063,27
User 217,DEBIT,181928,29
User 218,CREDIT,206173,40
User 218,DEBIT,196071,44
User 219,CREDIT,252177,59
User 219,DEBIT,175224,41
User 220,CREDIT,225568,40
User 220,DEBIT,130818,26
User 221,CREDIT,185846,36
User 221,DEBIT,200791,33
User 222,CREDIT,164439,34
User 222,DEBIT,141798,25
User 223,CREDIT,97138,23
User 223,DEBIT,135551,27
User 224,CREDIT,197318,44
User 224,DEBIT,217521,45
User 225,CREDIT,141565,27
User 225,DEBIT,118913,26
User 226,CREDIT,201267,41
User 226,DEBIT,221853,44
User 227,CREDIT,192159,41
User 227,DEBIT,166090,35
User 228,CREDIT,214020,42
User 228,DEBIT,168760,37
User 229,CREDIT,210958,38
User 229,DEBIT,245924,50
User 230,CREDIT,241325,45
User 230,DEBIT,274144,55
User 231,CREDIT,169334,39
User 231,DEBIT,198110,40
User 232,CREDIT,197776,39
User 232,DEBIT,85940,23
User 233,CREDIT,191257,36
User 233,DEBIT,178865,35
User 234,CREDIT,174935,34
User 234,DEBIT,216981,38
User 235,CREDIT,237119,43
User 235,DEBIT,184593,40
User 236,CREDIT,216130,45
User 236,DEBIT,143263,32
User 237,CREDIT,117431,25
User 237,DEBIT,194356,32
User 238,CREDIT,174786,35
User 238,DEBIT,153301,32
User 239,CREDIT,145988,42
User 239,DEBIT,206916,44
User 240,CREDIT,221523,43
User 240,DEBIT,190670,31
User 241,CREDIT,240308,49
User 241,DEBIT,248135,45
User 242,CREDIT,232661,44
User 242,DEBIT,246038,52
User 243,CREDIT,119954,25
User 243,DEBIT,135560,29
User 244,CREDIT,117696,21
User 244,DEBIT,128102,30
User 245,CREDIT,163230,32
User 245,DEBIT,123740,26
User 246,CREDIT,197632,36
User 246,DEBIT,156342,29
User 247,CREDIT,181643,35
User 247,DEBIT,117766,21
User 248,CREDIT,240476,50
User 248,DEBIT,176848,35
User 249,CREDIT,157808,33
User 249,DEBIT,138118,27
User 250,CREDIT,173833,37
User 250,DEBIT,196723,39
User 251,CREDIT,210632,47
User 251,DEBIT,207961,42
User 252,CREDIT,240084,50
User 252,DEBIT,207038,46
User 253,CREDIT,130338,25
User 253,DEBIT,157211,38
User 254,CREDIT,122840,23
User 254,DEBIT,175356,34
User 255,CREDIT,97536,22
User 255,DEBIT,163685,32
User 256,CREDIT,233574,44
User 256,DEBIT,211816,48
User 257,CREDIT,205133,38
User 257,DEBIT,226545,46
User 258,CREDIT,125298,29
User 258,DEBIT,122815,25
User 259,CREDIT,164971,34
User 259,DEBIT,186214,36
User 260,CREDIT,135486,24
User 260,DEBIT,131473,28
User 261,CREDIT,156693,28
User 261,DEBIT,137069,29
User 262,CREDIT,149729,28
User 262,DEBIT,119976,22
User 263,CREDIT,172918,36
User 263,DEBIT,159105,33
User 264,CREDIT,180081,30
User 264,DEBIT,199554,37
User 265,CREDIT,239773,46
User 265,DEBIT,230718,51
User 266,CREDIT,199703,41
User 266,DEBIT,195965,42
User 267,CREDIT,212217,43
User 267,DEBIT,216210,40
User 268,CREDIT,135901,30
User 268,DEBIT,137478,29
User 269,CREDIT,205370,41
User 269,DEBIT,137761,30
User 270,CREDIT,172497,33
User 270,DEBIT,140115,30
User 271,CREDIT,142760,33
User 271,DEBIT,112715,25
User 272,CREDIT,250475,44
User 272,DEBIT,245351,45
User 273,CREDIT,230048,39
User 273,DEBIT,164901,33
User 274,CREDIT,180875,35
User 274,DEBIT,177944,39
User 275,CREDIT,258363,49
User 275,DEBIT,151808,31
User 276,CREDIT,206227,40
User 276,DEBIT,109962,30
User 277,CREDIT,179439,29
User 277,DEBIT,170155,37
User 278,CREDIT,201924,42
User 278,DEBIT,210377,41
User 279,CREDIT,245045,46
User 279,DEBIT,225526,52
User 280,CREDIT,176119,36
User 280,DEBIT,183589,39
User 281,CREDIT,188391,36
User 281,DEBIT,184567,40
User 282,CREDIT,123998,27
User 282,DEBIT,153919,27
User 283,CREDIT,215504,42
User 283,DEBIT,170023,35
User 284,CREDIT,214984,41
User 284,DEBIT,305949,58
User 285,CREDIT,142258,23
User 285,DEBIT,140882,32
User 286,CREDIT,112171,23
User 286,DEBIT,146944,34
User 287,CREDIT,241990,47
User 287,DEBIT,198143,38
User 288,CREDIT,94754,23
User 288,DEBIT,113799,27
User 289,CREDIT,212360,44
User 289,DEBIT,212350,41
User 290,CREDIT,191877,39
User 290,DEBIT,204935,45
User 291,CREDIT,174462,34
User 291,DEBIT,211839,44
User 292,CREDIT,152742,30
User 292,DEBIT,163645,33
User 293,CREDIT,127128,22
User 293,DEBIT,127450,28
User 294,CREDIT,230758,44
User 294,DEBIT,273628,52
User 295,CREDIT,136326,27
User 295,DEBIT,89628,23
User 296,CREDIT,181414,33
User 296,DEBIT,103734,24
User 297,CREDIT,204414,36
User 297,DEBIT,144556,34
User 298,CREDIT,218734,39
User 298,DEBIT,153440,32
User 299,CREDIT,242165,50
User 299,DEBIT,227525,48
User 300,CREDIT,163918,31
User 300,DEBIT,189580,42
User 301,CREDIT,185033,36
User 301,DEBIT,124446,29
User 302,CREDIT,146319,27
User 302,DEBIT,180614,33
User 303,CREDIT,144694,29
User 303,DEBIT,99552,23
User 304,CREDIT,166776,37
User 304,DEBIT,156193,29
User 305,CREDIT,211871,39
User 305,DEBIT,272670,53
User 306,CREDIT,212682,36
User 306,DEBIT,201356,36
User 307,CREDIT,182706,35
User 307,DEBIT,219289,49
User 308,CREDIT,221496,39
User 308,DEBIT,161780,32
User 309,CREDIT,146385,32
User 309,DEBIT,210036,34
User 310,CREDIT,172039,33
User 310,DEBIT,159665,30
User 311,CREDIT,241973,48
User 311,DEBIT,250202,44
User 312,CREDIT,176716,29
User 312,DEBIT,109833,23
User 313,CREDIT,199371,38
User 313,DEBIT,170064,32
User 314,CREDIT,250775,48
User 314,DEBIT,220577,46
User 315,CREDIT,150943,30
User 315,DEBIT,145431,28
User 316,CREDIT,120838,23
User 316,DEBIT,168273,37
User 317,CREDIT,167327,40
User 317,DEBIT,236539,47
User 318,CREDIT,134549,28
User 318,DEBIT,165171,30
User 319,CREDIT,216423,47
User 319,DEBIT,231848,49
User 320,CREDIT,235509,42
User 320,DEBIT,192638,39
User 321,CREDIT,206285,41
User 321,DEBIT,234081,49
User 322,CREDIT,135786,31
User 322,DEBIT,156134,32
User 323,CREDIT,270318,52
User 323,DEBIT,205452,42
User 324,CREDIT,164245,32
User 324,DEBIT,157534,26
User 325,CREDIT,167185,40
User 325,DEBIT,265522,50
User 326,CREDIT,218433,47
User 326,DEBIT,240022,50
User 327,CREDIT,160434,34
User 327,DEBIT,114297,26
User 328,CREDIT,135508,23
User 328,DEBIT,192249,33
User 329,CREDIT,153320,31
User 329,DEBIT,157897,31
User 330,CREDIT,177765,38
User 330,DEBIT,187286,35
User 331,CREDIT,159010,34
User 331,DEBIT,219161,47
User 332,CREDIT,340193,55
User 332,DEBIT,259230,45
User 333,CREDIT,239519,45
User 333,DEBIT,218565,42
User 334,CREDIT,125585,27
User 334,DEBIT,115863,25
User 335,CREDIT,241763,49
User 335,DEBIT,212734,47
User 336,CREDIT,189643,41
User 336,DEBIT,283355,51
User 337,CREDIT,187881,36
User 337,DEBIT,258388,54
User 338,CREDIT,182284,34
User 338,DEBIT,192131,39
User 339,CREDIT,251337,44
User 339,DEBIT,225562,51
User 340,CREDIT,229387,40
User 340,DEBIT,121439,23
User 341,CREDIT,169535,41
User 341,DEBIT,222040,40
User 342,CREDIT,146339,34
User 342,DEBIT,188577,36
User 343,CREDIT,163423,30
User 343,DEBIT,149361,31
User 344,CREDIT,222025,39
User 344,DEBIT,185825,37
User 345,CREDIT,112038,22
User 345,DEBIT,152739,30
User 346,CREDIT,121250,25
User 346,DEBIT,134860,39
User 347,CREDIT,166352,32
User 347,DEBIT,270720,53
User 348,CREDIT,133539,30
User 348,DEBIT,176424,37
User 349,CREDIT,177213,36
User 349,DEBIT,146423,28
User 350,CREDIT,150367,31
User 350,DEBIT,172876,41
User 351,CREDIT,221149,46
User 351,DEBIT,240111,45
User 352,CREDIT,140914,24
User 352,DEBIT,114387,26
User 353,CREDIT,169323,34
User 353,DEBIT,155374,34
User 354,CREDIT,231573,47
User 354,DEBIT,237199,43
User 355,CREDIT,140708,24
User 355,DEBIT,159789,34
User 356,CREDIT,178382,36
User 356,DEBIT,130851,28
User 357,CREDIT,181075,40
User 357,DEBIT,165937,40
User 358,CREDIT,174959,35
User 358,DEBIT,179566,36
User 359,CREDIT,218673,43
User 359,DEBIT,239311,43
User 360,CREDIT,256293,54
User 360,DEBIT,229015,43
User 361,CREDIT,77409,17
User 361,DEBIT,226120,41
User 362,CREDIT,214732,46
User 362,DEBIT,252334,45
User 363,CREDIT,124058,25
User 363,DEBIT,211817,40
User 364,CREDIT,175416,41
User 364,DEBIT,153294,35
User 365,CREDIT,274094,52
User 365,DEBIT,194371,42
User 366,CREDIT,222974,38
User 366,DEBIT,196298,41
User 367,CREDIT,131048,34
User 367,DEBIT,148566,34
User 368,CREDIT,250549,41
User 368,DEBIT,172938,36
User 369,CREDIT,133289,28
User 369,DEBIT,151208,31
User 370,CREDIT,137486,28
User 370,DEBIT,133630,25
User 371,CREDIT,179273,41
User 371,DEBIT,166744,32
User 372,CREDIT,146281,31
User 372,DEBIT,271328,46
User 373,CREDIT,123023,22
User 373,DEBIT,191132,33
User 374,CREDIT,210693,49
User 374,DEBIT,232714,44
User 375,CREDIT,123381,23
User 375,DEBIT,139638,27
User 376,CREDIT,156308,36
User 376,DEBIT,231919,41
User 377,CREDIT,105498,26
User 377,DEBIT,167931,36
User 378,CREDIT,185189,42
User 378,DEBIT,212937,46
User 379,CREDIT,195508,42
User 379,DEBIT,243453,43
User 380,CREDIT,240113,46
User 380,DEBIT,178700,39
User 381,CREDIT,127409,26
User 381,DEBIT,145922,29
User 382,CREDIT,202535,41
User 382,DEBIT,237354,39
User 383,CREDIT,164018,33
User 383,DEBIT,129248,25
User 384,CREDIT,162311,36
User 384,DEBIT,169436,37
User 385,CREDIT,232206,47
User 385,DEBIT,237533,52
User 386,CREDIT,272059,52
User 386,DEBIT,170954,36
User 387,CREDIT,155982,31
User 387,DEBIT,182229,36
User 388,CREDIT,123377,23
User 388,DEBIT,184366,35
User 389,CREDIT,210091,44
User 389,DEBIT,242435,43
User 390,CREDIT,156821,36
User 390,DEBIT,187560,37
User 391,CREDIT,157415,27
User 391,DEBIT,193546,38
User 392,CREDIT,230574,47
User 392,DEBIT,214963,41
User 393,CREDIT,257400,48
User 393,DEBIT,173225,37
User 394,CREDIT,171691,35
User 394,DEBIT,179914,33
User 395,CREDIT,107925,21
User 395,DEBIT,147032,32
User 396,CREDIT,132564,27
User 396,DEBIT,127674,26
User 397,CREDIT,143158,33
User 397,DEBIT,166322,36
User 398,CREDIT,235261,44
User 398,DEBIT,229549,38
User 399,CREDIT,146324,30
User 399,DEBIT,130257,26
User 400,CREDIT,124659,29
User 400,DEBIT,156068,30
User 401,CREDIT,145757,32
User 401,DEBIT,197964,39
User 402,CREDIT,247343,50
User 402,DEBIT,267268,49
User 403,CREDIT,170700,40
User 403,DEBIT,223273,46
User 404,CREDIT,174069,35
User 404,DEBIT,208435,40
User 405,CREDIT,215356,37
User 405,DEBIT,191904,36
User 406,CREDIT,184016,32
User 406,DEBIT,147624,29
User 407,CREDIT,163419,35
User 407,DEBIT,132068,31
User 408,CREDIT,220919,41
User 408,DEBIT,196351,36
User 409,CREDIT,203914,43
User 409,DEBIT,181556,37
User 410,CREDIT,144458,28
User 410,DEBIT,181599,31
User 411,CREDIT,197811,38
User 411,DEBIT,223140,43
User 412,CREDIT,184965,33
User 412,DEBIT,128634,26
User 413,CREDIT,157539,35
User 413,DEBIT,160969,35
User 414,CREDIT,169794,34
User 414,DEBIT,217702,44
User 415,CREDIT,280290,52
User 415,DEBIT,264658,48
User 416,CREDIT,238347,45
User 416,DEBIT,232209,45
User 417,CREDIT,211079,45
User 417,DEBIT,266102,55
User 418,CREDIT,209435,38
User 418,DEBIT,209834,41
User 419,CREDIT,186979,31
User 419,DEBIT,157956,34
User 420,CREDIT,160924,30
User 420,DEBIT,150446,28
User 421,CREDIT,189401,34
User 421,DEBIT,164332,37
User 422,CREDIT,236050,46
User 422,DEBIT,167132,36
User 423,CREDIT,146301,35
User 423,DEBIT,213105,39
User 424,CREDIT,281685,51
User 424,DEBIT,235265,44
User 425,CREDIT,151101,29
User 425,DEBIT,136528,24
User 426,CREDIT,111228,24
User 426,DEBIT,142514,29
User 427,CREDIT,214250,41
User 427,DEBIT,228683,44
User 428,CREDIT,150953,30
User 428,DEBIT,168727,33
User 429,CREDIT,183386,38
User 429,DEBIT,244797,54
User 430,CREDIT,165433,33
User 430,DEBIT,238770,47
User 431,CREDIT,242816,49
User 431,DEBIT,200006,41
User 432,CREDIT,165977,30
User 432,DEBIT,136442,29
User 433,CREDIT,188054,42
User 433,DEBIT,157833,35
User 434,CREDIT,205524,36
User 434,DEBIT,97413,24
User 435,CREDIT,282774,49
User 435,DEBIT,180638,37
User 436,CREDIT,194927,39
User 436,DEBIT,240769,46
User 437,CREDIT,122106,25
User 437,DEBIT,121040,28
User 438,CREDIT,167326,35
User 438,DEBIT,119865,23
User 439,CREDIT,116082,23
User 439,DEBIT,180595,37
User 440,CREDIT,152473,27
User 440,DEBIT,177364,34
User 441,CREDIT,182575,32
User 441,DEBIT,159873,27
User 442,CREDIT,176505,34
User 442,DEBIT,163299,36
User 443,CREDIT,272223,47
User 443,DEBIT,222134,49
User 444,CREDIT,227112,46
User 444,DEBIT,170561,41
User 445,CREDIT,199316,35
User 445,DEBIT,174519,30
User 446,CREDIT,218290,42
User 446,DEBIT,213345,43
User 447,CREDIT,281386,53
User 447,DEBIT,228592,45
User 448,CREDIT,186035,39
User 448,DEBIT,210137,40
User 449,CREDIT,116086,26
User 449,DEBIT,163405,33
User 450,CREDIT,173622,34
User 450,DEBIT,178365,37
User 451,CREDIT,243647,47
User 451,DEBIT,173523,32
User 452,CREDIT,181540,36
User 452,DEBIT,275076,53
User 453,CREDIT,217857,43
User 453,DEBIT,255554,49
User 454,CREDIT,143309,27
User 454,DEBIT,185419,30
User 455,CREDIT,252986,55
User 455,DEBIT,221422,45
User 456,CREDIT,133563,25
User 456,DEBIT,171030,39
User 457,CREDIT,120483,24
User 457,DEBIT,180886,37
User 458,CREDIT,195619,41
User 458,DEBIT,83375,21
User 459,CREDIT,166438,34
User 459,DEBIT,141577,29
User 460,CREDIT,157136,29
User 460,DEBIT,167343,32
User 461,CREDIT,211556,40
User 461,DEBIT,229827,42
User 462,CREDIT,190558,37
User 462,DEBIT,184241,35
User 463,CREDIT,171526,35
User 463,DEBIT,199516,40
User 464,CREDIT,148607,29
User 464,DEBIT,115696,23
User 465,CREDIT,97648,23
User 465,DEBIT,146236,27
